method,seed,surface_id,parameter_range_scaled_rmse,noisy_price_rmse,clean_latent_price_rmse
model2,11,R2_FINAL_interior_train_009890,0.17155545962389518,0.00127883505212737,0.00127883505212737
model2,11,R2_FINAL_interior_train_009891,0.06353870470842617,0.0009286160924932178,0.0009286160924932178
model2,11,R2_FINAL_interior_train_009892,0.16888217964816724,0.0018979189446754732,0.0018979189446754732
model2,11,R2_FINAL_interior_train_009893,0.119435151379145,0.00021153638665518548,0.00021153638665518548
model2,11,R2_FINAL_interior_train_009894,0.12302682444074049,0.000304325088522587,0.000304325088522587
model2,11,R2_FINAL_interior_train_009895,0.15440114184605755,0.0007828152331864578,0.0007828152331864578
model2,11,R2_FINAL_interior_train_009897,0.0901759817253266,0.0014241871723079799,0.0014241871723079799
model2,11,R2_FINAL_interior_train_009898,0.1718433540611253,0.0009814131298511244,0.0009814131298511244
model2,11,R2_FINAL_interior_train_009899,0.17107928692142738,0.0009568965752029062,0.0009568965752029062
model2,11,R2_FINAL_interior_train_009900,0.11982312993114991,0.0007681700551270752,0.0007681700551270752
model2,11,R2_FINAL_interior_train_009901,0.11724162135511287,0.0009289376613375514,0.0009289376613375514
model2,11,R2_FINAL_interior_train_009902,0.09713668841421985,0.0004035985866341903,0.0004035985866341903
model2,11,R2_FINAL_interior_train_009904,0.15356838083580468,0.001668301542828459,0.001668301542828459
model2,11,R2_FINAL_interior_train_009905,0.13347100756902988,0.00044181819376635904,0.00044181819376635904
model2,11,R2_FINAL_interior_train_009906,0.13754933826158108,0.000713250500600188,0.000713250500600188
model2,11,R2_FINAL_interior_train_009907,0.16362996940062588,0.001524853113268268,0.001524853113268268
model2,11,R2_FINAL_interior_train_009908,0.13441503418584963,0.0010277521025021312,0.0010277521025021312
model2,11,R2_FINAL_interior_train_009909,0.13712294519918844,0.00025696178241570665,0.00025696178241570665
model2,11,R2_FINAL_interior_train_009911,0.1646107429652916,0.0005483289115847539,0.0005483289115847539
model2,11,R2_FINAL_interior_train_009912,0.1721044481878338,0.0009771699565808711,0.0009771699565808711
model2,11,R2_FINAL_interior_train_009914,0.161730938009168,0.0006742319486669212,0.0006742319486669212
model2,11,R2_FINAL_interior_train_009915,0.13248774451209844,0.0005298246935477642,0.0005298246935477642
model2,11,R2_FINAL_interior_train_009916,0.10526229481092302,0.000638358006026719,0.000638358006026719
model2,11,R2_FINAL_interior_train_009917,0.1448519773061623,0.00023225609914442145,0.00023225609914442145
model2,11,R2_FINAL_interior_train_009919,0.13103512262174383,0.0009497013204750409,0.0009497013204750409
model2,11,R2_FINAL_interior_train_009920,0.1377231747449341,0.0011706222600297621,0.0011706222600297621
model2,11,R2_FINAL_interior_train_009921,0.14212145415600524,0.0013262694016720185,0.0013262694016720185
model2,11,R2_FINAL_interior_train_009923,0.11769541183371919,0.0006844624350976689,0.0006844624350976689
model2,11,R2_FINAL_interior_train_009925,0.13159342102778318,0.00033243634306386456,0.00033243634306386456
model2,11,R2_FINAL_interior_train_009926,0.07062134649008252,0.0010588092048037204,0.0010588092048037204
model2,11,R2_FINAL_interior_train_009927,0.17075574177541694,0.0008052934667094026,0.0008052934667094026
model2,11,R2_FINAL_interior_train_009931,0.1528444097567289,0.0003678036304134742,0.0003678036304134742
model2,11,R2_FINAL_interior_train_009932,0.10160360188406019,0.0009831609306491203,0.0009831609306491203
model2,11,R2_FINAL_interior_train_009933,0.1468116613111403,0.004216055000734547,0.004216055000734547
model2,11,R2_FINAL_interior_train_009934,0.13477039143868827,0.0001854164280636864,0.0001854164280636864
model2,11,R2_FINAL_interior_train_009935,0.14524395192854073,0.0007624310646885174,0.0007624310646885174
model2,11,R2_FINAL_interior_train_009936,0.19031760574210488,0.000768108661892696,0.000768108661892696
model2,11,R2_FINAL_interior_train_009937,0.1401127366433497,0.0004411199918213317,0.0004411199918213317
model2,11,R2_FINAL_interior_train_009938,0.14410980695520856,0.00019089292476408954,0.00019089292476408954
model2,11,R2_FINAL_interior_train_009939,0.09280131441092399,0.001339377588130181,0.001339377588130181
model2,11,R2_FINAL_interior_train_009940,0.1327567962016857,0.00085188698329869,0.00085188698329869
model2,11,R2_FINAL_interior_train_009941,0.15917883827030932,0.000631682101007026,0.000631682101007026
model2,11,R2_FINAL_interior_train_009942,0.14018888806046492,0.0005475152016730253,0.0005475152016730253
model2,11,R2_FINAL_interior_train_009943,0.13178658734502705,0.0008010652139322684,0.0008010652139322684
model2,11,R2_FINAL_interior_train_009944,0.15411283515724183,0.000539697832090923,0.000539697832090923
model2,11,R2_FINAL_interior_train_009945,0.14018068347742832,0.0021618971456136625,0.0021618971456136625
model2,11,R2_FINAL_interior_train_009947,0.13264085502588963,0.000593770951623866,0.000593770951623866
model2,11,R2_FINAL_interior_train_009948,0.17662102461908705,0.0007337847864717744,0.0007337847864717744
model2,11,R2_FINAL_interior_train_009949,0.1379592497002712,0.0008432235848533209,0.0008432235848533209
model2,11,R2_FINAL_interior_train_009950,0.12702539868032722,0.0007447010425842143,0.0007447010425842143
